cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,Microsoft Academic Paper ID,WHO #Covidence,has_pdf_parse,has_pmc_xml_parse,full_text_file,url
iwfidoer,399cef5a5c8ca96a0ac33ee31dec722eac145a7b,PMC,FLDS: A Comprehensive dsRNA Sequencing Method for Intracellular RNA Virus Surveillance,10.1264/jsme2.me15171,PMC4791113,26877136.0,cc-by,"Knowledge of the distribution and diversity of RNA viruses is still limited in spite of their possible environmental and epidemiological impacts because RNA virus-specific metagenomic methods have not yet been developed. We herein constructed an effective metagenomic method for RNA viruses by targeting long double-stranded (ds)RNA in cellular organisms, which is a hallmark of infection, or the replication of dsRNA and single-stranded (ss)RNA viruses, except for retroviruses. This novel dsRNA targeting metagenomic method is characterized by an extremely high recovery rate of viral RNA sequences, the retrieval of terminal sequences, and uniform read coverage, which has not previously been reported in other metagenomic methods targeting RNA viruses. This method revealed a previously unidentified viral RNA diversity of more than 20 complete RNA viral genomes including dsRNA and ssRNA viruses associated with an environmental diatom colony. Our approach will be a powerful tool for cataloging RNA viruses associated with organisms of interest.",2016-02-13,"Urayama, Syun-ichi; Takaki, Yoshihiro; Nunoura, Takuro",Microbes Environ,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4791113/
sklwt76a,ea97faa57e408d3c7a5b84dbe3da7ae4feb9992e,PMC,"Rapid PCR Detection of Mycoplasma hominis, Ureaplasma urealyticum, and Ureaplasma parvum",10.1155/2013/168742,PMC4745450,26904723.0,cc-by,"Objective. We compared laboratory developed real-time PCR assays for detection of Mycoplasma hominis and for detection and differentiation of Ureaplasma urealyticum and parvum to culture using genitourinary specimens submitted for M. hominis and Ureaplasma culture. Methods. 283 genitourinary specimens received in the clinical bacteriology laboratory for M. hominis and Ureaplasma species culture were evaluated. Nucleic acids were extracted using the Total Nucleic Acid Kit on the MagNA Pure 2.0. 5 μL of the extracts were combined with 15 μL of each of the two master mixes. Assays were performed on the LightCycler 480 II system. Culture was performed using routine methods. Results. M. hominis PCR detected 38/42 M. hominis culture-positive specimens, as well as 2 that were culture negative (sensitivity, 90.5%; specificity, 99.2%). Ureaplasma PCR detected 139/144 Ureaplasma culture-positive specimens, as well as 9 that were culture negative (sensitivity, 96.5%; specificity, 93.6%). Of the specimens that tested positive for Ureaplasma species, U. urealyticum alone was detected in 33, U. parvum alone in 109, and both in 6. Conclusion. The described PCR assays are rapid alternatives to culture for detection of M. hominis and Ureaplasma species, and, unlike culture, the Ureaplasma assay easily distinguishes U. urealyticum from parvum.",2013-03-11,"Cunningham, Scott A.; Mandrekar, Jayawant N.; Rosenblatt, Jon E.; Patel, Robin",Int J Bacteriol,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4745450/
pvfhn1wr,4631d1a1d9384ce4aa9d96d6695417357855ce84,PMC,Population-based surveys and interventions for mental health literacy in China during 1997–2018: a scoping review,10.1186/s12888-019-2307-0,PMC6815452,31655552.0,cc-by,"BACKGROUND: This scoping review maps population-based surveys and mental health literacy (MHL) interventions undertaken in China during 1997–2018 in order to identify research gaps. METHOD: Following Arksey and O’Malley’s framework for a scoping review, five English databases (Medline, PsycINFO, Cochrane library, Web of Science and CINAHL) and two Chinese ones (CNKI and WanFang) were systematically searched, identifying both reports of surveys and evaluation of interventions from Jan 1997 to Oct 2018. RESULTS: MHL research has developed rapidly in China in terms of numbers of studies and geographic coverage over the past two decades. There were 350 peer-reviewed publications included in this review, covering diverse settings and participants. Of these publications, 313 (89.4%) were published in Chinese-language journals and 37 in English-language journals; 303 (86.6%) reported on survey findings and 47 reported on the evaluation of MHL interventions. MHL research in China has mainly focused on the assessment of mental health-related knowledge and beliefs. Much less attention has been given to developing and evaluating relevant interventions. MHL related to general mental health and suicide were most commonly studied, with less focus on specific disorders, although some studies covered depression, psychosis and anxiety disorders. The majority of MHL tools utilized in the studies reported in this review were developed in China (n = 97, 80.2% ) and almost half of these studies (57.8%) did not provide enough details concerning psychometrics. CONCLUSIONS: More interventions targeting the general public and aiming to improve MHL and promote behaviour change, are needed in China. These should be evaluated with high-quality study designs, such as randomised controlled trials. Proper validation of tools used for measuring MHL should also be addressed in future studies.",2019-10-26,"Lu, Shurong; Oldenburg, Brian; Li, Wenjing; He, Yanling; Reavley, Nicola",BMC Psychiatry,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6815452/
9e5ajbgq,42a8d5fd943cd29a518ec9683f549f105aac92f8,PMC,"Prevalence of dental caries and associated factors among primary school children: a population-based cross-sectional study in Riyadh, Saudi Arabia",10.1186/s12199-018-0750-z,PMC6267843,30497366.0,cc-by,"BACKGROUND: Dental caries is a preventable childhood disease, but public health efforts are hampered due to limited information on associated factors in vulnerable populations. Our study was aimed at estimating the prevalence of dental caries and identifying key associated factors in four major risk domains, including socioeconomic factors, child oral health behavior and practices, child feeding practices, and dietary habits among primary school children in Saudi Arabia. METHODS: A cross-sectional study design was used to recruit 578 male Saudi primary school children, aged 6–8 years, from 12 primary schools in five different regions of Riyadh. Children were clinically screened to detect carious lesions in primary teeth according to World Health Organization’s criteria. Structured self-administered questionnaire was used to collect information on social and individual factors from the parents. The odds ratios and 95% confidence intervals of associated factors for dental caries were computed using logistic regression models; key factors were identified by systematic selection process that accounted for multicollinearity and bias correction. RESULTS: Dental caries was prevalent among children (83%, 95% confidence interval 79.7–86.0%). Individual factors, including irregular brushing, late adoption of brushing habit, consulting dentist for symptomatic treatment, lack of breast feeding, sleeping with a bottle in mouth, habit of snacking between meals, low consumption of fruits, and frequent consumption of soft drinks and flavored milk, were predominantly associated with dental caries in children, instead of socioeconomic factors (p < 0.05, adjusted R-square 80%). CONCLUSION: Dental caries were prevalent in school children, and individual factors were predominantly associated with the disease. ELECTRONIC SUPPLEMENTARY MATERIAL: The online version of this article (10.1186/s12199-018-0750-z) contains supplementary material, which is available to authorized users.",2018-11-30,"Alhabdan, Yazeed Abdullah; Albeshr, Abdulhameed Ghassan; Yenugadhati, Nagarajkumar; Jradi, Hoda",Environ Health Prev Med,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6267843/
d86hnox1,c8df0fd2c7d06947d2bb15ebed6ce0bad831b297,PMC,Computational design of fully overlapping coding schemes for protein pairs and triplets,10.1038/s41598-017-16221-8,PMC5696523,29158504.0,cc-by,"Gene pairs that overlap in their coding regions are rare except in viruses. They may occur transiently in gene creation and are of biotechnological interest. We have examined the possibility to encode an arbitrary pair of protein domains as a dual gene, with the shorter coding sequence completely embedded in the longer one. For 500 × 500 domain pairs (X, Y), we computationally designed homologous pairs (X′, Y′) coded this way, using an algorithm that provably maximizes the sequence similarity between (X′, Y′) and (X, Y). Three schemes were considered, with X′ and Y′ coded on the same or complementary strands. For 16% of the pairs, an overlapping coding exists where the level of homology of X′, Y′ to the natural proteins represents an E-value of 10(−10) or better. Thus, for an arbitrary domain pair, it is surprisingly easy to design homologous sequences that can be encoded as a fully-overlapping gene pair. The algorithm is general and was used to design 200 triple genes, with three proteins encoded by the same DNA segment. The ease of design suggests overlapping genes may have occurred frequently in evolution and could be readily used to compress or constrain artificial genomes.",2017-11-20,"Opuu, Vaitea; Silvert, Martin; Simonson, Thomas",Sci Rep,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5696523/
43m6hwhj,70adc25ffcec7b3d1871ea866658c3cd01080f49,PMC,Transcriptional profiles of PBMCs from pigs infected with three genetically diverse porcine reproductive and respiratory syndrome virus strains,10.1007/s11033-018-4204-x,PMC6156768,29882085.0,cc-by,"Porcine reproductive and respiratory syndrome virus is the cause of reproductive failure in sows and respiratory disease in young pigs, which has been considered as one of the most costly diseases to the worldwide pig industry for almost 30 years. This study used microarray-based transcriptomic analysis of PBMCs from experimentally infected pigs to explore the patterns of immune dysregulation after infection with two East European PRRSV strains from subtype 2 (BOR and ILI) in comparison to a Danish subtype 1 strain (DAN). Transcriptional profiles were determined at day 7 post infection in three tested groups of pigs and analysed in comparison with the expression profile of control group. Microarray analysis revealed differential regulation (> 1.5-fold change) of 4253 and 7335 genes in groups infected with BOR and ILI strains, respectively, and of 12518 genes in pigs infected with Danish strain. Subtype 2 PRRSV strains showed greater induction of many genes, especially those involved in innate immunity, such as interferon stimulated antiviral genes and inflammatory markers. Functional analysis of the microarray data revealed a significant up-regulation of genes involved in processes such as acute phase response, granulocyte and agranulocyte adhesion and diapedesis, as well as down-regulation of genes enrolled in pathways engaged in protein synthesis, cell division, as well as B and T cell signaling. This study provided an insight into the host response to three different PRRSV strains at a molecular level and demonstrated variability between strains of different pathogenicity level. ELECTRONIC SUPPLEMENTARY MATERIAL: The online version of this article (10.1007/s11033-018-4204-x) contains supplementary material, which is available to authorized users.",2018-06-07,"Rola-Łuszczak, Marzena; Materniak-Kornas, Magdalena; Pluta, Aneta; Podgórska, Katarzyna; Nielsen, Jens; Stadejek, Tomasz; Kuźmak, Jacek",Mol Biol Rep,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6156768/
1jogs44p,145bb000d606bc2ea82e7e11f79363796bc9b7b1,PMC,Widespread Divergence of the CEACAM/PSG Genes in Vertebrates and Humans Suggests Sensitivity to Selection,10.1371/journal.pone.0061701,PMC3628338,23613906.0,cc-by,"In mammals, carcinoembryonic antigen cell adhesion molecules (CEACAMs) and pregnancy-specific glycoproteins (PSGs) play important roles in the regulation of pathogen transmission, tumorigenesis, insulin signaling turnover, and fetal–maternal interactions. However, how these genes evolved and to what extent they diverged in humans remain to be investigated specifically. Based on syntenic mapping of chordate genomes, we reveal that diverging homologs with a prototypic CEACAM architecture–including an extracellular domain with immunoglobulin variable and constant domain-like regions, and an intracellular domain containing ITAM motif–are present from cartilaginous fish to humans, but are absent in sea lamprey, cephalochordate or urochordate. Interestingly, the CEACAM/PSG gene inventory underwent radical divergence in various vertebrate lineages: from zero in avian species to dozens in therian mammals. In addition, analyses of genetic variations in human populations showed the presence of various types of copy number variations (CNVs) at the CEACAM/PSG locus. These copy number polymorphisms have 3–80% frequency in select populations, and encompass single to more than six PSG genes. Furthermore, we found that CEACAM/PSG genes contain a significantly higher density of nonsynonymous single nucleotide polymorphism (SNP) compared to the chromosome average, and many CEACAM/PSG SNPs exhibit high population differentiation. Taken together, our study suggested that CEACAM/PSG genes have had a more dynamic evolutionary history in vertebrates than previously thought. Given that CEACAM/PSGs play important roles in maternal–fetal interaction and pathogen recognition, these data have laid the groundwork for future analysis of adaptive CEACAM/PSG genotype-phenotypic relationships in normal and complicated pregnancies as well as other etiologies.",2013-04-16,"Chang, Chia Lin; Semyonov, Jenia; Cheng, Po Jen; Huang, Shang Yu; Park, Jae Il; Tsai, Huai-Jen; Lin, Cheng-Yung; Grützner, Frank; Soong, Yung Kuei; Cai, James J.; Hsu, Sheau Yu Teddy",PLoS One,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3628338/
nzh87aux,9b7a0ad7b6c7f59e7a6cf1dc9d07912a273d19b5,PMC,The Waiting Time for Inter-Country Spread of Pandemic Influenza,10.1371/journal.pone.0000143,PMC1764036,17206278.0,cc-by,"BACKGROUND: The time delay between the start of an influenza pandemic and its subsequent initiation in other countries is highly relevant to preparedness planning. We quantify the distribution of this random time in terms of the separate components of this delay, and assess how the delay may be extended by non-pharmaceutical interventions. METHODS AND FINDINGS: The model constructed for this time delay accounts for: (i) epidemic growth in the source region, (ii) the delay until an infected individual from the source region seeks to travel to an at-risk country, (iii) the chance that infected travelers are detected by screening at exit and entry borders, (iv) the possibility of in-flight transmission, (v) the chance that an infected arrival might not initiate an epidemic, and (vi) the delay until infection in the at-risk country gathers momentum. Efforts that reduce the disease reproduction number in the source region below two and severe travel restrictions are most effective for delaying a local epidemic, and under favourable circumstances, could add several months to the delay. On the other hand, the model predicts that border screening for symptomatic infection, wearing a protective mask during travel, promoting early presentation of cases arising among arriving passengers and moderate reduction in travel volumes increase the delay only by a matter of days or weeks. Elevated in-flight transmission reduces the delay only minimally. CONCLUSIONS: The delay until an epidemic of pandemic strain influenza is imported into an at-risk country is largely determined by the course of the epidemic in the source region and the number of travelers attempting to enter the at-risk country, and is little affected by non-pharmaceutical interventions targeting these travelers. Short of preventing international travel altogether, eradicating a nascent pandemic in the source region appears to be the only reliable method of preventing country-to-country spread of a pandemic strain of influenza.",2007-01-03,"Caley, Peter; Becker, Niels G.; Philp, David J.",PLoS One,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1764036/
2v2exya7,1392d02729b5e2f1a63ff3ff259e10a8c45e5a55,PMC,The effectiveness of a shared conference experience in improving undergraduate medical and nursing students’ attitudes towards inter-professional education in an Asian country: a before and after study,10.1186/s12909-015-0509-9,PMC4690434,26698562.0,cc-by,"BACKGROUND: In recent years, increasing emphasis has been placed on the importance of collaboration within multi-disciplinary healthcare teams, so as to facilitate holistic patient care and thus allow improved treatment outcomes. There is hence an urgent need to educate healthcare undergraduates early in their professional careers on the importance of and complexities involved in cooperating with counterparts from other allied healthcare professions. In conjunction with this, a milestone student-led conference for undergraduate students, the 9th Student Medical-Nursing Education Conference (SMEC), was organised in 2013 to provide a unique opportunity for shared learning among the entire cohort of undergraduate medical and nursing students in Singapore matriculating in that year. METHODS: This study evaluated the effectiveness of the 9th SMEC 2013 as a shared conference experience in improving the attitudes of undergraduate medical and nursing students in Singapore towards inter-professional education (IPE). A 19-point Readiness for Inter-Professional Learning Scale (RIPLS) questionnaire comprising three subscales was administered to participants both before and after the conference. 352 responses were collected, giving a response rate of 75.1 %. Results were analysed using paired-samples t-tests with statistical significance set at p = 0.05. RESULTS: Improvements in overall scores for both medical and nursing students were reported for all three RIPLS subscales. Examining the RIPLS items individually, significant improvement in scores for both medical and nursing students was obtained in all 19 items. Prior exposure to IPE activities was not a predictor of improvement in IPE attitudes. CONCLUSION: The authors propose that student-led jointly-organised conference experiences are effective in improving healthcare students’ attitudes towards IPE. This study provides valuable insights to facilitate the development of further IPE programs to allow for the rapid and effective promotion of cooperation and collaboration between students across various healthcare disciplines.",2015-12-23,"Chua, Amelia ZE; Lo, Daryl YK; Ho, Wilbert HH; Koh, Yun Qing; Lim, Daniel SY; Tam, John KC; Liaw, Sok Ying; Koh, Gerald CH",BMC Med Educ,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4690434/
oj5v9d7p,204a803a89944c81ecd8b50ddfb85e78db5df7f3,PMC,Antioxidant Defence Systems and Oxidative Stress in Poultry Biology: An Update,10.3390/antiox8070235,PMC6680731,31336672.0,cc-by,"Poultry in commercial settings are exposed to a range of stressors. A growing body of information clearly indicates that excess ROS/RNS production and oxidative stress are major detrimental consequences of the most common commercial stressors in poultry production. During evolution, antioxidant defence systems were developed in poultry to survive in an oxygenated atmosphere. They include a complex network of internally synthesised (e.g., antioxidant enzymes, (glutathione) GSH, (coenzyme Q) CoQ) and externally supplied (vitamin E, carotenoids, etc.) antioxidants. In fact, all antioxidants in the body work cooperatively as a team to maintain optimal redox balance in the cell/body. This balance is a key element in providing the necessary conditions for cell signalling, a vital process for regulation of the expression of various genes, stress adaptation and homeostasis maintenance in the body. Since ROS/RNS are considered to be important signalling molecules, their concentration is strictly regulated by the antioxidant defence network in conjunction with various transcription factors and vitagenes. In fact, activation of vitagenes via such transcription factors as Nrf2 leads to an additional synthesis of an array of protective molecules which can deal with increased ROS/RNS production. Therefore, it is a challenging task to develop a system of optimal antioxidant supplementation to help growing/productive birds maintain effective antioxidant defences and redox balance in the body. On the one hand, antioxidants, such as vitamin E, or minerals (e.g., Se, Mn, Cu and Zn) are a compulsory part of the commercial pre-mixes for poultry, and, in most cases, are adequate to meet the physiological requirements in these elements. On the other hand, due to the aforementioned commercially relevant stressors, there is a need for additional support for the antioxidant system in poultry. This new direction in improving antioxidant defences for poultry in stress conditions is related to an opportunity to activate a range of vitagenes (via Nrf2-related mechanisms: superoxide dismutase, SOD; heme oxygenase-1, HO-1; GSH and thioredoxin, or other mechanisms: Heat shock protein (HSP)/heat shock factor (HSP), sirtuins, etc.) to maximise internal AO protection and redox balance maintenance. Therefore, the development of vitagene-regulating nutritional supplements is on the agenda of many commercial companies worldwide.",2019-07-22,"Surai, Peter F.; Kochish, Ivan I.; Fisinin, Vladimir I.; Kidd, Michael T.",Antioxidants (Basel),,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6680731/
8rrkf78o,235855da90347b259f4d6b244821f3c1c264c04e,PMC,Expression of Foot-and-Mouth Disease Virus Capsid Proteins in Silkworm-Baculovirus Expression System and Its Utilization as a Subunit Vaccine,10.1371/journal.pone.0002273,PMC2386233,18509464.0,cc-by,"BACKGROUND: Foot-and-mouth disease (FMD) is a highly contagious disease of livestock that causes severe economic loss in susceptible cloven-hoofed animals. Although the traditional inactivated vaccine has been proved effective, it may lead to a new outbreak of FMD because of either incomplete inactivation of FMDV or the escape of live virus from vaccine production workshop. Thus, it is urgent to develop a novel FMDV vaccine that is safer, more effective and more economical than traditional vaccines. METHODOLOGY AND PRINCIPAL FINDINGS: A recombinant silkworm baculovirus Bm-P12A3C which contained the intact P1-2A and 3C protease coding regions of FMDV Asia 1/HNK/CHA/05 was developed. Indirect immunofluorescence test and sandwich-ELISA were used to verify that Bm-P12A3C could express the target cassette. Expression products from silkworm were diluted to 30 folds and used as antigen to immunize cattle. Specific antibody was induced in all vaccinated animals. After challenge with virulent homologous virus, four of the five animals were completely protected, and clinical symptoms were alleviated and delayed in the remaining one. Furthermore, a PD(50) (50% bovine protective dose) test was performed to assess the bovine potency of the subunit vaccine. The result showed the subunit vaccine could achieve 6.34 PD(50) per dose. CONCLUSION: The results suggest that this strategy might be used to develop the new subunit FMDV vaccine.",2008-05-28,"Li, Zhiyong; Yi, Yongzhu; Yin, Xiangping; Zhang, Zhifang; Liu, Jixing",PLoS One,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2386233/
wyj76ab6,6548b941beede8bb57cde83a928e4383b54697ad,PMC,"Povidone-iodine hand wash and hand rub products demonstrated excellent in vitro virucidal efficacy against Ebola virus and modified vaccinia virus Ankara, the new European test virus for enveloped viruses",10.1186/s12879-015-1111-9,PMC4574578,26381737.0,cc-by,"BACKGROUND: The recent Ebola virus (EBOV) epidemic highlights the need for efficacious virucidal products to help prevent infection and limit the spread of Ebola virus disease. However, there is limited data on the efficacy of virucidal products against EBOV, because the virus has a high biosafety level and is only available in a few laboratories worldwide. The virucidal efficacy of antiseptics and disinfectants can be determined using the European Standard EN14476:2013/FprA1:2015. Modified vaccinia virus Ankara (MVA) was introduced in 2014 as a reference virus for the claim ‘virucidal active against enveloped viruses for hygienic hand rub and hand wash’. For EBOV, also an enveloped virus, the suitability of MVA as a surrogate needs to be proven. The aim of this study was to test the in vitro efficacy of four povidone iodine (PVP-I) formulations against EBOV: 4 % PVP-I skin cleanser; 7.5 % PVP-I surgical scrub; 10 % PVP-I solution; and 3.2 % PVP-I and 78 % alcohol solution. The formulations were tested with MVA to define the test conditions, and as a secondary objective the suitability of MVA as a surrogate for enveloped viruses like EBOV was assessed. METHODS: According to EN14476, a standard suspension test was used for MVA. Large-volume plating was used for EBOV to increase test sensitivity and exclude potential after-effects. All products were tested under clean (0.3 g/L BSA) and dirty (3.0 g/L BSA + 3.0 mL/L erythrocytes) conditions with MVA for 15, 30, and 60 s. The concentration-contact time values obtained with MVA were verified for EBOV. RESULTS: Viral titres of MVA and EBOV were reduced by >99.99 % to >99.999 % under clean and dirty conditions after application of the test products for 15 seconds. CONCLUSIONS: All products showed excellent virucidal efficacy against EBOV, demonstrating the important role PVP-I can play in helping to prevent and limit the spread of Ebola virus disease. The efficacy against both test viruses after 15 s is helpful information for the implementation of guidance for people potentially exposed to EBOV, and confirms the excellent virucidal efficacy of PVP-I against enveloped viruses. MVA was found to be a suitable surrogate for enveloped viruses like EBOV.",2015-09-17,"Eggers, Maren; Eickmann, Markus; Kowalski, Katharina; Zorn, Juergen; Reimer, Karen",BMC Infect Dis,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4574578/
0oq4kkn5,4146f749b0883891603380e62be449df9a94a1a3; 9c1c6037784f97a987e79a92077dad0d252b7236,PMC,Irreversible inhibitors of the 3C protease of Coxsackie virus through templated assembly of protein-binding fragments,10.1038/ncomms12761,PMC5052702,27677239.0,cc-by,"Small-molecule fragments binding to biomacromolecules can be starting points for the development of drugs, but are often difficult to detect due to low affinities. Here we present a strategy that identifies protein-binding fragments through their potential to induce the target-guided formation of covalently bound, irreversible enzyme inhibitors. A protein-binding nucleophile reacts reversibly with a bis-electrophilic warhead, thereby positioning the second electrophile in close proximity of the active site of a viral protease, resulting in the covalent de-activation of the enzyme. The concept is implemented for Coxsackie virus B3 3C protease, a pharmacological target against enteroviral infections. Using an aldehyde-epoxide as bis-electrophile, active fragment combinations are validated through measuring the protein inactivation rate and by detecting covalent protein modification in mass spectrometry. The structure of one enzyme–inhibitor complex is determined by X-ray crystallography. The presented warhead activation assay provides potent non-peptidic, broad-spectrum inhibitors of enteroviral proteases.",2016-09-28,"Becker, Daniel; Kaczmarska, Zuzanna; Arkona, Christoph; Schulz, Robert; Tauber, Carolin; Wolber, Gerhard; Hilgenfeld, Rolf; Coll, Miquel; Rademann, Jörg",Nat Commun,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5052702/
vzbh457k,fd521d37325a60e6ed92aa9bcf4541b9a68ee90e,PMC,Identification of CD8(+ )cytotoxic T lymphocyte epitopes from porcine reproductive and respiratory syndrome virus matrix protein in BALB/c mice,10.1186/1743-422x-8-263,PMC3126774,21619712.0,cc-by,"Twenty-seven nanopeptides derived from the matrix (M) protein of porcine reproductive and respiratory syndrome virus (PRRSV) were screened for their ability to elicit a recall interferon-γ (IFN-γ) response from the splenocytes of BALB/c mice following DNA vaccination and a booster vaccination with recombinant vaccinia virus rWR-PRRSV-M. We identified two peptides (amino acid residues K(93)FITSRCRL and F(57)GYMTFVHF) as CD8(+ )cytotoxic T lymphocyte (CTL) epitopes. These peptides elicited significant numbers of IFN-γ secreting cells, compared with other M nonapeptides and one irrelevant nonapeptide. Bioinformatics analysis showed that the former is an H-2K(d)-restricted CTL epitope, and the latter is an H-2D(d)-restricted CTL epitope. Multiple amino acid sequence alignment among different PRRSV M sequences submitted to GenBank indicated that these two CTL epitopes are strongly conserved, and they should therefore be considered for further research on the mechanisms of cellular immune responses to PRRSV.",2011-05-30,"Zhang, Weijun; Lin, Yan; Bai, Yu; Tong, Tiegang; Wang, Qun; Liu, Nihong; Liu, Guangliang; Xiao, Yihong; Yang, Tao; Bu, Zhigao; Tong, Guangzhi; Wu, Donglai",Virol J,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3126774/
qeljlhgq,24c4787033b7069da07ce6b0b8f85f6fd5ad84b2,PMC,Comparative Epidemiology of Highly Pathogenic Avian Influenza Virus H5N1 and H5N6 in Vietnamese Live Bird Markets: Spatiotemporal Patterns of Distribution and Risk Factors,10.3389/fvets.2018.00051,PMC5896172,29675418.0,cc-by,"Highly pathogenic avian influenza (HPAI) H5N1 virus has been circulating in Vietnam since 2003, whilst outbreaks of HPAI H5N6 virus are more recent, having only been reported since 2014. Although the spatial distribution of H5N1 outbreaks and risk factors for virus occurrence has been extensively studied, there have been no comparative studies for H5N6. Data collected through active surveillance of Vietnamese live bird markets (LBMs) between 2011 and 2015 were used to explore and compare the spatiotemporal distributions of H5N1- and H5N6-positive LBMs. Conditional autoregressive models were developed to quantify spatiotemporal associations between agroecological factors and the two HPAI strains using the same set of predictor variables. Unlike H5N1, which exhibited a strong north–south divide, with repeated occurrence in the extreme south of a cluster of high-risk provinces, H5N6 was homogeneously distributed throughout Vietnam. Similarly, different agroecological factors were associated with each strain. Sample collection in the months of January and February and higher average maximum temperature were associated with higher likelihood of H5N1-positive market-day status. The likelihood of market days being positive for H5N6 increased with decreased river density, and with successive Rounds of data collection. This study highlights marked differences in spatial patterns and risk factors for H5N1 and H5N6 in Vietnam, suggesting the need for tailored surveillance and control approaches.",2018-04-05,"Mellor, Kate C.; Meyer, Anne; Elkholly, Doaa A.; Fournié, Guillaume; Long, Pham T.; Inui, Ken; Padungtod, Pawin; Gilbert, Marius; Newman, Scott H.; Vergne, Timothée; Pfeiffer, Dirk U.; Stevens, Kim B.",Front Vet Sci,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5896172/
4ov7eycq,2a3a68a67776a01043a6a156b69be803c7118a6d,PMC,The Vpu-interacting Protein SGTA Regulates Expression of a Non-glycosylated Tetherin Species,10.1038/srep24934,PMC4840321,27103333.0,cc-by,"The HIV-1 accessory protein Vpu enhances virus release by counteracting the host restriction factor tetherin. To further understand the role of host cell proteins in Vpu function, we carried out yeast two-hybrid screening and identified a previously reported Vpu-interacting host factor, small glutamine-rich tetratricopeptide repeat-containing protein (SGTA). While RNAi-mediated depletion of SGTA did not significantly affect levels of tetherin or virus release efficiency, we observed that overexpression of SGTA inhibited HIV-1 release in a Vpu- and tetherin-independent manner. Overexpression of SGTA in the presence of Vpu, but not in its absence, resulted in a marked stabilization and cytosolic relocalization of a 23-kDa, non-glycosylated tetherin species. Coimmunoprecipitation studies indicated that non-glycosylated tetherin is stabilized through the formation of a ternary SGTA/Vpu/tetherin complex. This accumulation of non-glycosylated tetherin is due to inhibition of its degradation, independent of the ER-associated degradation (ERAD) pathway. Because the SGTA-stabilized tetherin species is partially localized to the cytosol, we propose that overexpression of SGTA in the presence of Vpu blocks the translocation of tetherin across the ER membrane, resulting in cytosolic accumulation of a non-glycosylated tetherin species. Although our results do not provide support for a physiological function of SGTA in HIV-1 replication, they demonstrate that SGTA overexpression regulates tetherin expression and stability, thus providing insights into the function of SGTA in ER translocation and protein degradation.",2016-04-22,"Waheed, Abdul A.; MacDonald, Scott; Khan, Maisha; Mounts, Megan; Swiderski, Maya; Xu, Yue; Ye, Yihong; Freed, Eric O.",Sci Rep,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4840321/
lxdbwd5n,fdf03dcd427aa029a6b213288a7e862519decafb,PMC,Glycyrrhizic Acid in the Treatment of Liver Diseases: Literature Review,10.1155/2014/872139,PMC4052927,24963489.0,cc-by,"Glycyrrhizic acid (GA) is a triterpene glycoside found in the roots of licorice plants (Glycyrrhiza glabra). GA is the most important active ingredient in the licorice root, and possesses a wide range of pharmacological and biological activities. GA coupled with glycyrrhetinic acid and 18-beta-glycyrrhetic acid was developed in China or Japan as an anti-inflammatory, antiviral, and antiallergic drug for liver disease. This review summarizes the current biological activities of GA and its medical applications in liver diseases. The pharmacological actions of GA include inhibition of hepatic apoptosis and necrosis; anti-inflammatory and immune regulatory actions; antiviral effects; and antitumor effects. This paper will be a useful reference for physicians and biologists researching GA and will open the door to novel agents in drug discovery and development from Chinese herbs. With additional research, GA may be more widely used in the treatment of liver diseases or other conditions.",2014-05-13,"Li, Jian-yuan; Cao, Hong-yan; Liu, Ping; Cheng, Gen-hong; Sun, Ming-yu",Biomed Res Int,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4052927/
